long,lat,nro_registro,tipo_activ,comuna,U46,calle,calle_altura,calle_chapa,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol,ultima_actualizacion
-58.3842569,-34.6183029,64268,Lineal,1,978,Santiago del Estero,800,75.0,Exacta,Lagerstroemia indica,2.4,Ocupada,Regular,A nivel,3.0,2.0,2007-02-08
-58.37616874,-34.61728276,64276,Lineal,1,978,Independencia Av,700,75.0,,Fraxinus excelsior,3.2,Ocupada,Regular,A nivel,31.0,13.0,2007-09-07
-58.37484149,-34.60902938,64277,Lineal,1,978,PerÃÂº,50,75.0,Exacta,Catalpa bignonioides,,Ocupada,,Bajo nivel,11.0,10.0,2001-08-08
-58.38723842,-34.63247783,64554,Lineal,1,978,Rondeau,1500,75.0,Exacta,Fraxinus pennsylvanica,3.2,Sobreocupada,Regular,A nivel,29.0,8.0,2013-12-25
-58.38684334,-34.63245311,64555,Lineal,1,978,Rondeau,1500,75.0,Exacta,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,50.0,15.0,2019-06-09
-58.38754855,-34.63249698,64556,Lineal,1,978,Rondeau,1500,75.0,LD,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,45.0,12.0,2006-10-19
-58.38070892,-34.60761109,65604,Lineal,1,978,Pellegrini Carlos,,75.0,Exacta,Jacaranda mimosifolia,8,Ocupada,Regular,Bajo nivel,45.0,11.0,2012-05-18
-58.38071951,-34.60741286,65606,Lineal,1,978,Pellegrini Carlos,,75.0,Exacta,Jacaranda mimosifolia,8,Ocupada,Regular,Bajo nivel,42.0,11.0,2006-11-20
-58.37536158,-34.60712282,65607,Lineal,1,978,"Saenz PeÃÂ±a Roque,Pres. Diagonal Norte Av. ",600,75.0,Exacta,Jacaranda mimosifolia,4.8,Ocupada,Regular,A nivel,26.0,9.0,2008-03-26
-58.37929211,-34.60766264,65608,Lineal,1,978,Suipacha,,75.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,8.0,3.0,2007-04-18
-58.37926354,-34.60819443,65609,Lineal,1,977,Suipacha,,75.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,8.0,3.0,2012-05-14
-58.38070147,-34.60775061,65610,Lineal,1,977,Pellegrini Carlos,,75.0,LA,Jacaranda mimosifolia,8,Ocupada,Regular,Bajo nivel,51.0,11.0,2003-09-29
-58.38067844,-34.60818145,65611,Lineal,1,977,Pellegrini Carlos,,75.0,,Jacaranda mimosifolia,8,Ocupada,Regular,A nivel,27.0,9.0,2018-08-05
-58.38067844,-34.60818145,65612,Lineal,1,977,Pellegrini Carlos,,75.0,Exacta,Jacaranda mimosifolia,8,Ocupada,Regular,A nivel,16.0,8.0,2015-11-26
-58.36641509,-34.60524945,64837,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,20.0,4.0,2017-03-23
-58.36641509,-34.60524945,64841,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,9.0,4.0,2005-08-21
-58.36613699,-34.61159728,64842,Lineal,1,977,Moreau  de Justo Alicia Av.,700,75.0,Exacta,Lagerstroemia indica,10.5,Ocupada,Regular,Elevada,10.0,4.0,2018-07-03
-58.36641509,-34.60524945,64843,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,9.0,4.0,2002-07-09
-58.36614231,-34.61163643,64844,Lineal,1,977,Moreau  de Justo Alicia Av.,700,75.0,LD,Prunus cerasifera f. atropurpurea,10.5,Ocupada,Fuera de lÃÂ­nea,Elevada,28.0,4.0,2019-03-30
-58.36641509,-34.60524945,64845,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,10.0,4.0,2009-06-02
-58.36641509,-34.60524945,64846,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,11.0,2.0,2013-08-06
-58.36641509,-34.60524945,64847,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,6.0,3.0,2010-11-03
-58.36641509,-34.60524945,64848,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,8.0,3.0,2020-04-07
-58.36641509,-34.60524945,64849,Lineal,1,977,Gorriti Juana Manuela,700,75.0,LA,Lagerstroemia indica,8,Ocupada,Regular,Elevada,19.0,3.0,2001-11-12
-58.37536158,-34.60712282,65613,Lineal,1,977,"Saenz PeÃÂ±a Roque,Pres. Diagonal Norte Av. ",600,75.0,Exacta,Jacaranda mimosifolia,4.8,Ocupada,Regular,A nivel,29.0,15.0,2006-04-13
-58.37927783,-34.60792831,65614,Lineal,1,977,Suipacha,,75.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,8.0,3.0,2010-09-17
-58.37640793,-34.60745582,65615,Lineal,1,977,MaipÃÂº,,75.0,Exacta,Photinia x fraseri,3.2,Ocupada,Regular,A nivel,3.0,2.0,2022-01-15
-58.37930915,-34.60734531,65616,Lineal,1,977,Suipacha,,75.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,9.0,4.0,2018-10-14
-58.37929892,-34.60753578,65617,Lineal,1,977,Suipacha,,75.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,10.0,3.0,2016-01-17
-58.37930915,-34.60734531,65618,Lineal,1,977,Suipacha,,76.0,LD,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,5.0,3.0,2018-06-17
-58.37930915,-34.60734531,65619,Lineal,1,977,Suipacha,,76.0,Exacta,Photinia x fraseri,2.8,Ocupada,Regular,A nivel,6.0,2.0,2009-05-18
-58.36605037,-34.61136183,64860,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Populus alba,10.5,Ocupada,Regular,Bajo nivel,61.0,16.0,2019-12-20
-58.36562546,-34.61209441,64861,Lineal,1,977,Villaflor Azucena,50,76.0,LD,Tipuana tipu,4.7,Ocupada,Regular,Elevada,46.0,15.0,2022-10-04
-58.36562546,-34.61209441,64862,Lineal,1,977,Villaflor Azucena,50,76.0,LD,Tipuana tipu,4.7,Ocupada,Regular,Elevada,44.0,15.0,2000-07-30
-58.36613699,-34.61159728,64863,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Prunus cerasifera f. atropurpurea,10.5,Ocupada,Regular,Elevada,14.0,4.0,2018-06-14
-58.36562546,-34.61209441,64864,Lineal,1,977,Villaflor Azucena,50,76.0,LD,Tipuana tipu,4.7,Ocupada,Regular,Elevada,43.0,15.0,2014-12-20
-58.36562546,-34.61209441,64865,Lineal,1,977,Villaflor Azucena,50,76.0,LD,Tipuana tipu,4.7,Ocupada,Regular,Elevada,53.0,15.0,2021-03-16
-58.36623429,-34.61089336,64866,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LA,Ficus benjamina,10.5,Ocupada,Regular,Elevada,39.0,4.0,2016-09-23
-58.36562546,-34.61209441,64869,Lineal,1,977,Villaflor Azucena,50,76.0,LD,Tipuana tipu,4.7,Ocupada,Regular,Elevada,55.0,15.0,2015-11-15
-58.36624893,-34.61071593,64870,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Populus nigra `ÃÂItalicaÃÂ,10.5,Ocupada,Regular,Elevada,29.0,13.0,2015-05-01
-58.36605037,-34.61136183,64872,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Populus alba,10.5,Ocupada,Fuera de lÃÂ­nea,Elevada,40.0,19.0,2012-06-18
-58.36624893,-34.61071593,64873,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Prunus cerasifera f. atropurpurea,10.5,Ocupada,Regular,Elevada,15.0,4.0,2013-03-04
-58.36622258,-34.61103531,64874,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LD,Phoenix loureiri,10.5,Sobreocupada,Fuera de lÃÂ­nea,Elevada,8.0,3.0,2007-02-16
-58.36622258,-34.61103531,64876,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Brachychiton populneus,10.5,Sobreocupada,Regular,Elevada,30.0,5.0,2018-06-17
-58.36626357,-34.61053849,64877,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Prunus cerasifera f. atropurpurea,10.5,Ocupada,Regular,Elevada,25.0,3.0,2012-06-24
-58.36616251,-34.6112112,64878,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Callistemon citrinus,10.5,Ocupada,Regular,Elevada,12.0,4.0,2022-01-01
-58.36623429,-34.61089336,64879,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,Exacta,Lagerstroemia indica,10.5,Sobreocupada,Regular,Elevada,6.0,3.0,2008-08-12
-58.36623429,-34.61089336,64880,Lineal,1,977,Moreau  de Justo Alicia Av.,700,76.0,LA,Lagerstroemia indica,10.5,Sobreocupada,Regular,Elevada,7.0,3.0,2019-04-21
