calle,comuna,altura_inicial,altura_final
AVALLE,5,2202,2301
AVALOS,12,0,2201
AVALOS,15,0,1801
AVELINO DIAZ,7,0,2601
AVELLANEDA,6,0,1201
AVELLANEDA,10,4202,4601
AVIADOR ENRIQUE A. ROGER,4,1402,1501
AYACUCHO,2,0,2201
AYACUCHO,3,2,801
AYMARA,1,0,1101
AYOLAS,4,0,501
AYUI,10,0,7001
AZARA,4,0,1801
AZCUENAGA,2,0,2101
AZCUENAGA,3,2,801
AZOPARDO,1,302,1501
AZOPARDO,4,1502,1601
AZUCENA MAIZANI,1,302,401
AZUCENA VILLAFLOR,1,0,701
AZUL,9,502,1001
AZUL,10,2,501
AÃASCO,15,2202,3101
BACACAY,6,602,1701
BACACAY,7,1702,3201
BACACAY,10,3202,5701
BACON,11,0,5501
BAEZ,14,0,801
BAHIA,10,1702,1801
BAHIA BLANCA,10,0,2601
BAHIA BLANCA,11,0,5201
BAIGORRI,4,2,201
BAIGORRIA,0,3902,5301
BAIGORRIA,10,5302,5901
BAIGORRIA,11,0,3901
BAJADA AV. DE LOS OMBUES,14,0,1
BALBASTRO,7,0,3401
BALBASTRO,8,5050,6201
BALBOA,15,182,701
BALCARCE,1,2,1501
BALDOMERO FERNANDEZ MORENO,7,0,3401
BALDOMERO FERNANDEZ MORENO,9,3402,3901
BALLIVIAN,15,2102,3401
BALTASAR DE UNQUERA,10,1902,2001
BARADERO,9,502,601
BARADERO,10,2,501
BARAGAÃA,12,0,2401
BARCA CABO DE HORNOS,8,0,7001
BARCALA,3,3002,3101
BARCELONA,8,2802,2901
BARILOCHE,4,3002,3201
BARRAGAN,9,2,501
BARRAGAN,10,502,1201
BARRIENTOS,2,0,1601
BARTOLINA SISA,1,1702,1901
BARTOLOME HIDALGO,12,3002,3101
BARTOLOME MITRE,1,102,1801
BARTOLOME MITRE,3,0,3401
BARTOLOME MITRE,5,0,4501
BARZANA,12,1802,2201
BARZANA,15,1002,1801
BASAVILBASO,1,1202,1401
BASILIO CITTADINI,11,2302,2401
BASILIO HALL,12,4102,4201
BASILIO HALL,15,4002,4101
BASUALDO,8,0,3301
BASUALDO,9,0,2301
BASUALDO,10,0,701
BATALLA DEL PARI,15,0,1151
BATHURST,5,3302,3401
BAUNESS,12,0,3001
BAUNESS,15,102,1801
BAZURCO,11,3302,3701
BAZURCO,12,2202,3301
BEADE,6,548,601
BEATO FEDERICO OZANAM,8,5002,5401
BEAUCHEF,6,2,901
BEAUCHEF,7,0,2101
BEAZLEY,4,0,4001
BEETHOVEN,12,3402,3601
BEHRING,15,2502,2701
BELEN,10,0,801
BELFAST,10,2602,2701
BELFAST,11,2702,2801
BELGICA,11,2302,2401
BELGRADO,15,3002,3201
BELGRANO,5,3802,4301
BELL VILLE,7,1202,1301
BELLA VISTA,15,1102,1201
BENIMIANO SEMIZA,12,0,1
BENITO JUAREZ,10,1702,2701
BENITO JUAREZ,11,0,4701
BENITO QUINQUELA MARTIN,4,0,2301
BENJAMIN J. LAVAISSE,11,0,3901
BENJAMIN VILLAFAÃE,15,2102,2201
BERGANTIN CONGRESO NACIONAL,8,6052,6101
BERGANTIN ECHAGUE,8,0,6001
BERGANTIN GENERAL BALCARCE,8,5902,6101
BERGANTIN GENERAL BELGRANO,8,0,6101
BERGANTIN GOLETA ESPORA,8,6502,6901
BERGANTIN NANCY,8,0,5251
BERGANTIN VIGILANTE,8,6002,6101
BERLIN,15,3902,4501
BERMEJO,9,6802,7001
BERMUDEZ,10,0,2401
BERMUDEZ,11,0,3805
BERNA,15,2202,2501
BERNAL,6,602,701
BERNALDES,10,1102,2001
BERNARDO DE IRIGOYEN,1,0,1701
BERNARDO DE LEON,11,2302,2701
BERON DE ASTRADA,4,0,2101
BERON DE ASTRADA,8,0,7001
BERTHELOT,12,3302,3601
BERTRES,6,302,601
BERUTI,2,2302,3301
BERUTI,14,3302,4701
BESARES,12,0,4801
BESARES,13,1602,2401
BETHLEM,1,402,451
BEYROUTH,10,4902,5001
BIALET MASSE,7,502,701
BIARRITZ,11,2202,2801
BIARRITZ,15,1802,2201
BILLINGHURST,2,1002,2501
BILLINGHURST,5,2,1001
BILLINGHURST,14,2502,2601
BLANCO (NO OFICIAL),7,0,1
BLANCO ENCALADA,12,0,5801
BLANCO ENCALADA,13,0,3701
BLANDENGUES,4,1202,1301
BOEDO,5,2,301
BOGADO,5,4402,4601
BOGOTA,6,2,1801
BOGOTA,7,1802,3201
BOGOTA,10,0,4501
BOLAÃOS,10,0,351
BOLIVAR,1,0,1601
BOLIVAR,4,1602,1901
BOLIVIA,12,0,1
BOLLINI,2,2102,2301
BOLONIA,10,5302,5501
BOLÃVAR,7,0,1
BOMBAY,10,2202,2301
BONPLAND,14,1302,2501
BONPLAND,15,702,1301
BOQUERON,9,6702,7301
BOSTON,10,2602,2701
BOSTON,11,2702,2801
BOUCHARD,1,0,801
BOULEVARD OLIMPICO JOSE B. ZUBIAU,8,0,4601
BOULOGNE SUR MER,3,202,1001
BOYACA,7,0,1101
BOYACA,11,1102,2301
BRAGADO,9,0,7501
BRANDSEN,4,2,2811
BRASIL,1,0,1801
BRASIL,4,1802,3301
BRAVARD,6,0,1
BRAVARD,15,1102,1201
BRIG.GRAL.JUAN FACUNDO QUIROGA,0,0,1101
BRIG.GRAL.JUAN FACUNDO QUIROGA,2,0,1
BRUSELAS,10,502,1701
BUCARELLI,12,0,3601
BUCARELLI,15,902,1801
BUCAREST,15,1302,1501
BUDAPEST,15,1402,1501
BUERAS,9,102,401
BULGARIA,12,4202,4401
BULNES,5,2,1201
BULNES,14,0,2801
BURELA,12,0,3701
BURELA,15,1202,1801
BURGOS,6,902,951
BUTTELER,7,0,101
BYNON,9,6602,7001
BYRON,10,2,201
CAACUPE,1,0,2001
CAAGUAZU,9,5702,7701
CABALLITO,7,1402,1501
CABELLO,14,0,4001
CABO 1Âº JULIO BENÃTEZ,8,0,1
CABO 2Âº JORGE LÃPEZ,8,0,1
CABO BELGRANO,8,0,1
CABO PABLO T. FELS,1,202,401
CABOT,5,1602,1801
CABOTO,4,0,1431
CACHEUTA,10,902,1001
CACHI,4,0,1331
CACHIMAYO,6,2,601
CACHIMAYO,7,702,2001
CACIQUE,4,2502,2701
CADIZ,15,3702,4301
CAFAYATE,8,0,5401
CAFAYATE,9,602,2001
CAGLIARI,9,1402,1451
CAJARAVILLA,10,4102,5201
CALCENA,7,160,601
CALCHAQUIES,1,0,1
CALDAS,15,0,2001
CALDEN,10,802,1001
CALFUCURA,11,2702,2901
CALIFORNIA,4,0,3501
CALILEGUA,1,0,2901
CALINGASTA,11,1802,1901
CALLE 1,15,0,1
CALLE 10,15,0,1
CALLE 12 (NO OFICIAL),2,0,1
CALLE 13 (NO OFICIAL),2,0,1
CALLE 14,15,0,1
CALLE 14 (NO OFICIAL),2,0,1
CALLE 17,15,0,1
CALLE 18,15,0,1
CALLE 2,15,0,1
CALLE 22,15,0,1
CALLE 24,15,0,1
CALLE 26,15,0,1
CALLE 28,15,0,1
CALLE 30,15,0,1
CALLE 33,15,0,1
CALLE 34,15,0,1
CALLE 38,15,0,1
CALLE 42,15,0,1
CALLE 46,15,0,1
CALLE 49,15,0,1
CALLE 50,15,0,1
CALLE 52,15,0,1
CALLE 53,15,0,1
CALLE 54,15,0,1
CALLE 57,15,0,1
CALLE 59,15,0,1
CALLE 6,15,0,1
CALLE 61,15,0,1
CALLE 73,15,0,1
CALLE 85,15,0,1
CALLE 87,15,0,1
CALLE 9 - ALBERTO CHEJOLAN,1,1102,2201
CALLE 93,15,0,1
CALLE KEVIN,4,0,1
CALLE MANZANAS 52A-52B (NO OFICIAL),4,0,1
CALLE MZAS 21-22 (NO OFICIAL),7,0,1
CALLE PRINCIPAL 26,15,0,1
CALZADA CIRCULAR PLAZA DE LOS CONGRESOS,1,0,1
CALZADA CIRCULAR PLAZA ITALIA,14,0,1
CAMACUA,7,2,1001
CAMARGO,15,2,1301
CAMARONES,10,3802,5901
CAMARONES,11,1402,3801
CAMILA O'GORMAN,1,302,501
CAMINITO,4,0,1
CAMOATI,10,5502,5601
CAMPANA,0,4002,5701
CAMPANA,10,2,901
CAMPANA,11,0,4001
CAMPICHUELO,6,0,701
CAMPILLO,15,2402,3201
CAMPOS SALLES,13,1402,2401
CANADA,10,4802,5001
CANDELA SOL RODRÃGUEZ,8,3902,4051
CANDELARIA,10,2,301
CANDIDO LOPEZ,8,5902,6001
CANGALLO,6,0,201
CANGAYE,10,802,1201
CANTILO,2,1702,1801
CAP.GRAL. RAMON FREIRE,12,0,4901
CAP.GRAL. RAMON FREIRE,13,0,2501
CAPDEVILA,12,2702,3601
CAPERUCITA,7,1102,1201
CAPITAN DE FRAGATA PEDRO E. GIACCHINO,7,0,1
CAPITAN SAMUEL SPIRO,9,5602,6001
CARABELAS,1,202,351
CARACAS,7,2,1201
CARACAS,11,1202,2801
CARACAS,12,4102,5601
CARACAS,15,3502,4101
CARAGUATA,1,2202,2401
CARANDAY,10,702,1001
CARAPACHAY,10,1302,1601
CARBAJAL,13,3202,3301
CARBAJAL,15,3502,4301
CARDOSO,10,2,401
CARHUE,8,0,3501
CARHUE,9,0,3201
CARICANCHA,7,1102,1301
CARLOS A. BUSTOS,8,6102,6201
CARLOS AMBROSIO COLOMBO,3,0,1
CARLOS ANTONIO LOPEZ,11,0,4401
CARLOS ANTONIO LOPEZ,12,2102,3301
CARLOS BERG,7,0,1
CARLOS BERG,8,0,3751
CARLOS CALVO,0,3302,3311
CARLOS CALVO,1,0,1801
CARLOS CALVO,3,1802,3301
CARLOS CALVO,5,3312,3801
CARLOS CARRANZA,10,4802,5001
CARLOS CHAGAS,10,2602,2701
CARLOS CHAGAS,11,2702,2801
CARLOS E. DIAZ SAENZ VALIENTE,8,4402,4601
CARLOS E. PELLEGRINI,12,5602,6101
CARLOS E. ZUBERBUHLER,13,1702,1831
CARLOS ENCINA,9,502,801
CARLOS F. MELO,4,0,901
CARLOS GARDEL,3,3102,3201
CARLOS GUIDO Y SPANO,6,1102,1201
CARLOS H. PERETTE,1,0,1201
CARLOS J.BENIELLI,9,7052,7101
CARLOS LOPEZ BUCHARDO,12,5602,5701
CARLOS M. DELLA PAOLERA,1,202,301
CARLOS M. RAMIREZ,4,802,2101
CARLOS M. RAMIREZ,8,2102,2701
CARLOS MOLINA ARROTEA,12,2802,2901
CARLOS MOREL,9,4102,4201
CARLOS ORTIZ,7,0,1301
CARLOS PELLEGRINI,1,0,1601
CARLOS SANTIAGO NINO,9,502,601
CARLOS SPEGAZZINI,5,402,601
CARLOS VEGA BELGRANO,9,1102,1201
CARMEN BALANDRA,8,6002,6101
CAROLA LORENZINI,1,302,401
CAROLINA MUZILLI,9,5402,6001
CAROYA,9,2102,2301
CASACUBERTA,4,3102,3201
CASAFOUST,15,502,801
CASCO,9,102,401
CASTAÃEDA,13,1802,2101
CASTAÃON,7,702,1501
CASTAÃON,8,0,3701
CASTELLI,3,2,401
CASTEX,14,3102,3701
CASTILLO,15,2,1801
CASTRO,5,502,2301
CASTRO BARROS,5,502,2301
CATAMARCA,3,2,1601
CATAMARCA,4,1602,2301
CATANIA,9,5602,5701
CATANIA,10,5402,5601
CATRIEL,12,3502,3601
CATULO CASTILLO,4,2302,3301
CAVIA,14,2902,3401
CAYASTA,4,3202,3401
CAYETANO A. SILVA,9,1202,1301
CAZADORES,13,1802,2501
CAÃA,1,2302,2601
CAÃADA DE GOMEZ,8,3202,5701
CAÃADA DE GOMEZ,9,0,2801
CAÃONERA AMERICA,8,4852,4951
CAÃUELAS,15,202,301
CDRO. CLODOMIRO URTUBEY,13,2302,2401
CECILIA GRIERSON,1,0,451
CENTENARIO,6,102,201
CERETTI,12,0,3601
CERETTI,15,1502,1801
CERRILLOS,13,1902,2001
CERRITO,1,0,1601
CERRO DE LOS 7 COLORES,1,2602,2901
CERVANTES,10,2,2401
CERVANTES,11,0,3901
CESAR H. BACLE,10,3802,3901
CESPEDES,13,2402,3501
CESPEDES,14,2102,2401
CESPEDES,15,3502,4101
CHABUCA GRANDE,1,0,1801
CHACABUCO,1,0,1601
CHACO,6,2,251
CHAJARI,12,4302,4701
CHAMICAL,9,5002,5151
CHARCAS,2,0,3301
CHARCAS,14,0,5301
CHARLONE,15,2,2201
CHARRUA,4,2702,3741
CHARRUA,7,0,2401
CHASCOMUS,9,0,6101
CHAÃAR,1,2602,2801
CHECOSLOVAQUIA,10,4302,4501
CHICOANA,9,2002,2101
CHILCA,1,2652,2701
CHILE,1,402,1801
CHILE,3,1802,3001
CHILECITO,10,3702,3801
CHIMBORAZO,11,2102,2301
CHINA,15,4002,4101
CHIRIGUANOS,10,4502,4601
CHIRIMAY,6,2,201
CHIVILCOY,10,0,2501
CHIVILCOY,11,2502,3001
CHONINO,14,3502,3801
CHORROARIN,11,0,1
CHORROARIN,15,0,201
CHUBUT,4,1102,1401
CHUMBICHA,11,3202,3301
CHURQUI,1,2216,2301
CIERVO DE LAS PAMPAS,1,2202,2451
CINA CINA,1,2302,2351
CIPOLETTI,7,502,601
CISNE,12,4002,4101
CIUDAD DE LA PAZ,12,0,3901
CIUDAD DE LA PAZ,13,402,3601
CIUDAD DE LA PAZ,14,2,401
CIUDAD DE SABADELL,4,302,401
CIUDAD UNIVERSITARIA,13,0,1
CIUDADELA,1,1102,1301
CLAUDIA FALCONE,8,4352,4401
CLAY,14,0,3101
CLEMENTE DIEZ DE MEDINA,7,1302,1501
CMTE. CELEDONIO ESCALADA,8,0,5501
CMTE. FRANCISCO CARBONARI,4,0,2001
CNEL. ANTONIO SUSINI,15,0,2401
CNEL. CABRER,14,4902,5001
CNEL. CARLOS SOURIGUES,13,2502,2701
CNEL. JOSE O. GORDILLO,10,0,2201
CNEL. NICETO VEGA,14,4602,5411
CNEL. ROHDE,11,3502,3551
CNEL. SALVADORES,4,0,1701
CNEL.BENITO MEANA,4,1102,1201
CNEL.JUAN A.DE BALDRICH,6,0,1
CNEL.MANUEL JOSE OLASCOAGA,8,5002,5051
CNEL.PAGOLA,4,3602,4301
CNEL.PEDRO A. GARCIA,8,5602,5901
CNEL.RICO,4,702,801
COCHABAMBA,1,0,1801
COCHABAMBA,3,0,3301
COCHABAMBA,5,3302,4401
COCHICO,10,702,901
COCHRANE,11,3302,3501
COCHRANE,12,0,3301
COLECTORA AUTOPISTA ARTURO ILLIA,2,0,1
COLIBRI,1,2,2451
COLIGUE,10,2902,3001
COLIQUEO,10,2002,2201
COLIQUEO,11,2202,2301
COLOMBRES,5,2,1801
COLONIA,4,0,1
COLPAYO,6,2,901
COLUMBIA,10,4902,5001
COMBATE DE COSTA BRAVA,1,2,101
COMBATE DE LOS POZOS,3,0,1601
COMBATE DE LOS POZOS,4,1602,2201
COMBATE DE SAN CARLOS,8,5302,5581
COMISARIO JOAQUIN V. PEREZ,8,3402,3501
COMODORO CEFERINO RAMIREZ,8,5402,5701
COMODORO MARTIN RIVADAVIA,13,0,2401
COMODORO PEDRO ZANNI,1,202,401
CONCEPCION ARENAL,13,2802,3401
CONCEPCION ARENAL,14,2302,2801
CONCEPCION ARENAL,15,0,4901
CONCEPCION LEYES DE CHAVES,8,4352,4401
CONCORDIA,10,2,901
CONCORDIA,11,0,6751
CONDARCO,7,2,1101
CONDARCO,11,0,3321
CONDARCO,12,0,6101
CONDARCO,15,3502,4101
CONDE,12,2502,4901
CONDE,13,0,2501
CONDOR,4,1402,2101
CONDOR,8,2102,3001
CONESA,12,0,5001
CONESA,13,2,3601
CONGRESO,13,0,2401
CONSCRIPTO BERNARDI,10,602,701
CONSTANCIO C VIGIL,9,502,601
CONSTANTINO GAITO,12,6002,6101
CONSTANTINOPLA,15,3002,3401
CONSTITUCION,1,1002,1801
CONSTITUCION,3,1802,3301
CONSTITUCION,5,0,4401
CONVENCION,14,1902,2001
COOPERACION,4,2502,2601
COPAHUE,4,2002,2101
COPENHAGUE,15,1502,1601
COPERNICO,2,2302,2401
COPIHUE,1,2802,2851
CORBETA AGREABLE,8,5002,5169
CORBETA BELFAST,8,0,5351
CORBETA URUGUAY,1,0,1
CORDOBA,15,6302,6601
CORINA KAVANAGH,1,0,1
COROICO,1,2002,2101
CORONDA,6,102,201
CORONEL D. APOLINARIO FIGUEROA,6,702,1501
CORONEL D. APOLINARIO FIGUEROA,11,1702,2101
CORONEL D. APOLINARIO FIGUEROA,15,0,701
CORONEL DE MARINA TOMAS ESPORA,4,0,901
CORONEL LUIS JORGE FONTANA,11,4402,4501
CORONEL MARTINIANO CHILAVERT,4,1002,1901
CORONEL MARTINIANO CHILAVERT,7,1902,2001
CORONEL MARTINIANO CHILAVERT,8,0,7001
CORONEL NICOLAS GRANADA,9,702,1001
CORONEL RAMON L. FALCON,6,1302,1701
CORONEL RAMON L. FALCON,7,1702,3201
CORONEL RAMON L. FALCON,9,0,7301
CORONEL RAMON L. FALCON,10,3202,5401
CORONEL RAMON LISTA,10,5302,5951
CORONEL RAMON LISTA,11,5002,5301
CORRALES,4,802,2021
CORRALES,8,2202,7001
CORRALES VIEJOS,4,2,101
CORREA,12,0,4901
CORREA,13,1602,2401
CORREGIDORES,13,0,1601
CORTINA,10,2,2801
CORVALAN,8,2402,4401
CORVALAN,9,0,2401
CORVALAN,10,0,721
COSQUIN,8,0,5701
COSQUIN,9,0,3001
COSTA RICA,14,3902,6101
COTAGAITA,4,1802,1901
COTOCOLLAO,9,1302,1401
CRAIG,6,602,801
CRAIG,7,802,1001
CRAINQUEVILLE,11,2102,2301
CRAMER,0,2,401
CRAMER,12,0,4901
CRAMER,13,0,3601
CRANWELL,7,502,901
CRESPO,4,2702,3601
CRESPO,7,2002,2101
CRESPO (NO OFICIAL),7,0,1
CRISOLOGO LARRALDE,13,0,2011
CRISOSTOMO ALVAREZ,7,2602,3451
CRISOSTOMO ALVAREZ,8,4502,6801
CRISOSTOMO ALVAREZ,9,0,4501
CRISTANIA,4,0,1
CRISTOBAL M. HICKEN,8,0,3201
CROVARA,4,0,1
CRUCERO GRAL. BELGRANO,1,1202,1301
CRUZ DEL EJE,15,2102,2201
CRUZ DEL SUD,4,2902,3001
CTTE. MARTIN GUERRICO,8,5402,5801
CUBA,13,0,4901
CUCHA CUCHA,6,602,1451
CUCHA CUCHA,15,0,2933
CUENCA,0,0,901
CUENCA,11,0,3701
CUENCA,12,4102,5801
CUENCA,15,3702,4101
CULLEN,12,4802,5901
CULPINA,7,0,1501
CULPINA,8,3202,3801
CURA BROCHERO,8,5552,5601
CURAPALIGUE,0,2,501
CURAPALIGUE,7,502,2001
CURITYBA,9,5102,5201
CURUPAYTI,12,0,3259
CURUZU CUATIA,10,2402,2601
CUYO,9,2202,2301
CUZCO,9,0,401
CUZCO,10,0,801
Colectora INT. CANTILO,13,0,1
D'ARIENZO JUAN,12,0,1
D. ROMERO,13,1802,1901
DAGUERRE,9,4802,4901
DAMASO LARRAÃAGA,9,502,1001
DANEL,3,1402,1601
DANIEL BONIFACIO CHANAMPA,8,6102,6201
DANTE,10,2,301
DARDO ROCHA,14,2902,3001
DARREGUEYRA,14,0,2501
DARWIN,14,1302,1701
DARWIN,15,0,1301
DAVILA,7,602,1201
DE LA CARCOVA,2,3502,3601
DE LA ECONOMIA,10,6002,6201
DE LA INDUSTRIA,7,902,1101
DE LA MISERICORDIA,9,5502,5601
DE LA PIEDAD,1,0,1
DE LA TECNICA,12,5302,5601
DE LAS ARTES,7,902,1301
DE LAS CIENCIAS,7,902,1201
DE LAS GARANTIAS,7,902,1301
DE LOS NIÃOS,8,0,1
DEAN FUNES,3,302,1601
DEAN FUNES,4,1602,2201
DEFENSA,0,1602,1853
DEFENSA,1,102,1601
DEHEZA,12,0,5001
DEHEZA,13,1602,2401
DEKAY,4,4002,4301
DEL ANGEL GRIS (NO OFICIAL),7,0,1
DEL BARCO CENTENERA,0,0,2201
DEL BARCO CENTENERA,4,0,3601
DEL BARCO CENTENERA,6,2,801
DEL BARCO CENTENERA,7,0,2001
DEL BAÃADO,4,0,2601
DEL BUEN ORDEN,7,902,1301
DEL CAMPO AV.,15,1002,1275
DEL CARMEN,1,702,801
DEL COLEGIO,8,6302,6401
DEL COMERCIO,7,902,1301
DEL PALO SANTO,8,4202,4301
DEL PARQUE,15,1202,1301
DEL PROGRESO,7,902,1301
DEL SIGNO,14,4002,4101
DEL TEMPLE,15,2502,2801
DEL TIGRE,4,0,4201
DELAMBRE,10,4402,4801
DELFIN GALLO,8,5702,5901
DELFO CABRERA,8,4402,4601
DELGADO,13,302,1601
DELIA DEGLIOUMINI,1,802,1301
DELPINI JOSE ING.,8,5152,5401
DEMARIA,14,4402,4801
DESAGUADERO,10,2202,2701
DESAGUADERO,11,0,4451
DESEADO,11,5202,5301
DIAGONAL 101,15,0,1
DIAGONAL 103,15,0,1
DIAGONAL 107,15,0,1
DIAGONAL 113,15,0,1
DIAGONAL 115,15,0,1
DIAGONAL 119,15,0,1
DIAGONAL 121,15,0,1
DIAGONAL 123,15,0,1
DIAGONAL 99,15,0,1
DIAGONAL105,15,0,1
DIAGONAL109,15,0,1
DIAGONAL111,15,0,1
DIAGONAL115,15,0,1
DIAGONAL117,15,0,1
DIAGONAL119,15,0,1
DIAGUITAS,1,680,901
DIAMANTE,11,2702,2801
DIAZ COLODRERO,12,0,3601
DICIEMBRE 1986,8,0,1
DIEGO DE OLAVARRIETA,9,1402,1701
DIEGO DE ROJAS,11,2302,2701
DIEGO FERNANDEZ ESPIRO,11,2302,2501
DINAMARCA,6,1102,1201
DIOGENES TABORDA,4,0,1701
DIP.NAC.OSVALDO E. BENEDETTI,10,0,301
DOBLAS,6,2,901
DOBLAS,7,902,2101
DOLORES,9,502,801
DOLORES,10,2,501
DOMINGO DE AZCUENAGA,4,2952,3001
DON ANSELMO AIETA,1,1052,1101
DON BOSCO,5,3402,4201
DON CRISTOBAL,10,4002,4101
DON SEGUNDO SOMBRA,7,1602,1901
DONADO,12,0,5001
DONADO,15,802,1801
DONIZETTI,10,2,601
DORA ACOSTA,1,2002,2301
DORREGO,0,0,2101
DORREGO,14,2102,2531
DR. ADOLFO DICKMAN,15,902,1501
DR. BENJAMIN CANARD,15,1102,1201
DR. CARLOS GIANANTONIO,5,0,4001
DR. DESIDERIO FERNANDO DAVEL,6,502,601
DR. DOMINGO CABRED,4,4302,4901
DR. ELEODORO LOBOS,6,182,801
DR. GUILLERMO CORREA,9,0,4751
DR. HORACIO CASCO,8,4502,5301
DR. HORACIO CASCO,9,4202,4501
DR. JOSE I.DE LA ROSA,8,5702,7501
DR. JOSE M. GIUFFRA,1,202,401
DR. JUAN ANGEL GOLFARINI,13,2302,2401
DR. LUIS AGOTE,2,2202,2601
DR. RAMON CARRILLO,4,2,701
DR. RENÃ FAVALORO,4,3002,3301
DR. RICARDO FINOCHIETTO,6,0,1
DR. RICARDO LEVENE,2,902,1001
DR. ROBERTO LEVILLIER,14,0,1
DR. TOMAS MANUEL DE ANCHORENA,2,0,1901
DR. TOMAS MANUEL DE ANCHORENA,3,2,901
DR.ALEJANDRO KORN,10,4102,4501
DR.ALEJANDRO POSADAS,11,2702,2801
DR.ANGEL E. ROFFO,9,7002,7101
DR.ANTONIO BERMEJO,8,6302,6901
DR.BERNARDO VELEZ,13,1702,1801
DR.CARLOS VAZ FERREIRA,2,1501,1600
DR.DAVID PEÃA,10,4102,4401
DR.DEL VALLE IBERLUCEA,4,602,1301
DR.EDUARDO BRAUN MENENDEZ,4,2,501
DR.EDUARDO JENNER,3,1802,2001
DR.EDUARDO PITTALUGA,4,4302,4401
DR.ELEODORO DAMIANOVICH,4,3302,3401
DR.EMILIO R. CONI,4,3202,3301
DR.EMILIO RAVIGNANI,14,1302,2601
DR.EMILIO RAVIGNANI,15,1102,1301
DR.ENRIQUE FINOCHIETTO,0,1002,1101
DR.ENRIQUE FINOCHIETTO,4,0,2201
DR.FLORENTINO AMEGHINO,8,2102,2201
DR.FLORENTINO AMEGHINO,9,0,2101
DR.GERARDO ARMAUER HANSEN,13,1702,1801
DR.GREGORIO ARAOZ ALFARO,6,202,501
DR.HONORIO LEGUIZAMON,12,3702,3801
DR.JOAQUIN ZABALA,15,2502,2801
DR.JUAN F. ARANGUREN,6,0,1801
DR.JUAN F. ARANGUREN,7,1802,3201
DR.JUAN F. ARANGUREN,10,0,5101
DR.JUAN MADERA,4,0,1701
DR.LUIS BELAUSTEGUI,6,1002,1601
DR.LUIS BELAUSTEGUI,10,3702,5001
DR.LUIS BELAUSTEGUI,11,0,3701
DR.LUIS BELAUSTEGUI,15,0,1001
DR.MARCELO J. FITTE,13,1702,1801
DR.NICOLAS REPETTO,6,0,1401
DR.NICOLAS REPETTO,15,1402,2201
DR.NORBERTO QUIRNO COSTA,2,1202,1301
DR.OSVALDO EGUIA,8,3202,3301
DR.PEDRO BALIÃA,4,3902,4101
DR.PEDRO I. RIVERA,12,0,5901
DR.PEDRO I. RIVERA,13,2402,3101
DR.PEDRO LOPEZ ANAUT,5,4002,4101
DR.PROF. PEDRO CHUTRO,4,2402,3501
DR.RAFAEL BIELSA,15,102,301
DR.RICARDO ROJAS,1,0,501
DR.RODOLFO RIVAROLA,1,102,201
DR.TEODORO AUBAIN,13,1802,1861
DR.VICTORINO DE LA PLAZA,13,0,1901
DRAGONES,13,1802,2501
DRUMOND,4,2102,2401
DUBLIN,15,4202,4301
DUPUY,10,2,1201
Dr. ÃNGEL ROBBIANI,9,402,701
DÃRSENA FIGUEROA ALCORTA,13,0,1
ECHAURI,4,1502,1801
ECHEANDIA,7,2602,3101
ECHEANDIA,8,4602,7001
ECHEANDIA,9,0,4601
ECHENAGUCIA,10,2,1301
ECHEVERRIA,12,3802,5901
ECHEVERRIA,13,0,3801
ECUADOR,2,1002,1701
ECUADOR,3,0,1001
EDMUNDO D'AMICIS,10,4702,4801
EDUARDO ACEVEDO,6,0,701
EDUARDO AROLAS,4,2102,2201
EDUARDO COLOMBO LEONI,4,1402,1501
EDUARDO COSTA,14,3002,3101
EDUARDO GUTIERREZ,10,5602,5701
EDUARDO J. COTOURE,2,2051,2300
EDUARDO SCHIAFFINO,2,2102,2201
EDUARDO SIVORI,14,2902,3001
EL ALFABETO,15,1802,1901
EL ARAUCANO,10,1302,1401
EL ARTESANO,7,1102,1301
EL CARDENAL,9,6802,7001
EL CARPINTERO,9,6802,7001
EL CEIBO,4,2302,2401
EL CERRO,9,3402,3501
EL CHACHO,9,302,701
EL CHASQUE,10,6502,6601
EL CRIOLLO,10,1302,1401
EL DELTA,11,3102,3201
EL DOMADOR,11,3102,3201
EL ELECTRICISTA NICASIO F. BUSTAMANTE,8,6102,6201
EL FERROVIARIO ANTONIO R. VEGA,8,3102,3301
EL FOGON,12,4302,4501
EL FUERTE,10,4602,4701
EL GAUCHO,12,5802,6201
EL HORNERO,9,102,701
EL LITORAL,11,3102,3201
EL MAESTRO,6,2,201
EL METODO,11,1802,2001
EL MIRASOL,9,102,701
EL MISIONERO,11,2302,2401
EL NENE,10,1802,2101
EL PAMPERO,11,2602,2701
EL PEREGRINO,11,3102,3201
EL PROFETA DE LA PAMPA,9,0,4701
EL QUIJOTE,11,2502,2701
EL RANCHO,10,5902,6001
EL RASTREADOR,9,302,701
EL RECADO,10,5902,6001
EL REFRAN,4,3202,3301
EL SALVADOR,14,3802,6101
EL SAUCE,10,1302,1401
EL SENDERO,8,0,1
EL SERENO,10,302,401
EL TALA,9,1402,1601
EL TREBOL,9,6802,7001
EL TROVADOR,11,3002,3201
EL ZONDA,7,1602,1701
EL ZORZAL,9,6802,7001
EL ÃANDU,11,3102,3201
ELCANO,13,0,2801
ELCANO,15,0,5101
ELENA LARROQUE DE ROFFO,10,4702,4801
ELIA,4,402,801
ELIAS BEDOYA,9,2,201
ELPIDIO GONZALEZ,10,3902,6091
