calle,comuna,altura_inicial,altura_final
ANCASTE,4,2952,3801
ANCHORIS,4,2,401
ANCON,14,5102,5401
ANDALGALA,9,0,3101
ANDALUCIA,11,3302,3501
ANDONAEGUI,12,0,4001
ANDONAEGUI,15,902,1801
ANDORRA,9,7402,7601
ANDRES ARGUIBEL,14,2802,2951
ANDRES BELLO,14,0,1
ANDRES BIANCHI,9,7402,7501
ANDRES FERREYRA,4,3502,4301
ANDRES LAMAS,7,702,1101
ANDRES LAMAS,11,0,2301
ANDRES LAMAS,15,0,2701
ANGACO,5,4042,4301
ANGEL JUSTINIANO CARRANZA,14,1302,2401
ANGEL JUSTINIANO CARRANZA,15,902,1301
ANGEL M. GIMENEZ,6,2,101
ANGELINA PAGANO,12,0,1
ANIBAL P. ARBELETCHE,4,802,1651
ANIBAL PONCE,4,1602,1701
ANIBAL TROILO,5,902,1001
ANKARA,9,5402,5501
ANSELMO SAENZ VALIENTE,0,2,201
ANTEQUERA,1,1702,1801
ANTEZANA,15,0,601
ANTOFAGASTA,9,5202,5301
ANTONINO M. FERRARI,6,902,1201
ANTONIO BERMUDEZ,9,1402,1501
ANTONIO L. ZOLEZZI,4,2,301
ANTONIO MACHADO,6,0,701
ANTONIO SOTO,12,0,1
ANTONIO VESPUCIO LIBERTI (NO OFICIAL),14,0,1
APULE,4,1602,1701
AQUINO,8,0,6501
ARAOZ,14,0,3001
ARAOZ,15,2,1101
ARAUJO,8,2402,4401
ARAUJO,9,0,2401
ARAUJO,10,0,771
ARCAMENDIA,4,664,801
ARCE,14,0,1001
ARCOS,13,0,4901
ARCOS,14,1102,1401
ARENALES,1,702,1401
ARENALES,2,1402,3301
ARENALES,14,3302,3901
ARENGREEN,6,0,1601
AREQUIPA,1,0,2477
AREVALO,14,0,3101
ARGAÃARAS,15,2,101
ARGELIA,12,2702,2801
ARGERICH,7,2,1101
ARGERICH,11,1102,3401
ARGERICH,12,4102,5901
ARGERICH,15,3502,4101
ARIAS,12,0,5001
ARIAS,13,1602,2401
ARIEL,11,2502,2601
ARISMENDI,15,2402,3001
ARISTOBULO DEL VALLE,4,2,2101
ARIZONA,12,4702,4801
ARJONILLA,2,2302,2401
ARMENIA,14,1202,2501
ARNALDO D'ESPOSITO,4,102,251
AROMA,7,2302,2401
AROMO,12,4802,4901
ARQUIMEDES,4,2102,2501
ARREGUI,0,2102,2201
ARREGUI,10,3902,6901
ARREGUI,11,2202,3901
ARRIBEÃOS,13,1402,3801
ARRIBEÃOS,14,1202,1401
ARRIOLA,4,2,301
ARROTEA,7,602,1101
ARROYO,1,0,1201
ARTILLEROS,13,1802,2501
ARTURO ANTONIO DRESCO,14,2542,2581
ARTURO BERUTI,4,4202,4601
ARTURO CAPDEVILA,2,1602,1701
ARTURO JAURETCHE,6,2,301
ARTURO TOSCANINI,1,1102,1201
ARZOBISPO ESPINOSA,4,0,1601
ASCASUBI,4,3152,3401
ASIA,7,1402,1501
ASTOR PIAZZOLLA,4,3002,3651
ASTURIAS AV (NO OFICIAL),8,0,1
ASUNCION,10,5302,5401
ASUNCION,11,0,5301
ASUNCION,15,2102,3275
ATACALCO,14,1702,2201
ATAHUALPA,10,902,1701
ATENAS,15,2802,3001
ATHOS PALMA,12,3802,3901
ATLANTICO SUR,8,4802,5001
ATUEL,4,0,1101
AU DELLEPIANE LUIS,0,0,1
AU DELLEPIANE LUIS,8,0,1
AU DELLEPIANE LUIS,9,0,1
AU. 25 DE MAYO,0,0,1
AU. 25 DE MAYO,1,0,1
AU. 25 DE MAYO,3,0,1
AU. 25 DE MAYO,5,0,1
AU. 25 DE MAYO,7,0,1
AU. 25 DE MAYO,9,0,1
AU. ARTURO FRONDIZI,0,0,1
AU. ARTURO FRONDIZI,1,0,1
